"","words","frequency"
"1252","who you are",167
"1253","you have any",167
"1254","do the same",166
"1255","in the game",166
"1256","time for a",166
"1257","working on a",166
"1258","is like a",165
"1259","ready to go",165
"1260","you should be",165
"1261","first day of",164
"1262","forward to your",164
"1263","good luck to",163
"1264","hope you had",163
"1265","i thought you",163
"1266","last day of",163
"1267","to get in",163
"1268","in your life",162
"1269","look like a",162
"1270","will be at",162
"1271","need to go",161
"1272","we can do",161
"1273","for the new",160
"1274","for your support",160
"1275","its time for",160
"1276","just got a",160
"1277","proud of you",160
"1278","the way you",160
"1279","to wake up",160
"1280","tonight at the",160
"1281","for the support",159
"1282","its a good",159
"1283","to catch up",159
"1284","what did you",159
"1285","whats your favorite",159
"1286","and thank you",158
"1287","do you like",158
"1288","i wont be",158
"1289","just had a",158
"1290","me and my",158
"1291","can do it",157
"1292","feel like a",157
"1293","get to see",157
"1294","sorry to hear",157
"1295","to the gym",157
"1296","i really want",156
"1297","on the phone",156
"1298","having a great",155
"1299","you know i",155
"1300","feel like im",154
"1301","said in a",154
"1302","such a great",154
"1303","be the best",153
"1304","best of luck",153
"1305","have a wonderful",153
"1306","if you love",153
"1307","make it to",153
"1308","on the new",153
"1309","i should be",152
"1310","ill have to",152
"1311","i hate it",151
"1312","i havent been",151
"1313","me want to",151
"1314","talk to you",151
"1315","the best way",151
"1316","the world is",151
"1317","wanna go to",151
"1318","excited to be",150
"1319","i cant even",150
"1320","join us for",150
"1321","ready for a",150
"1322","what happened to",149
"1323","i need some",148
"1324","to start the",148
"1325","want you to",148
"1326","what are your",148
"1327","great way to",147
"1328","i really dont",147
"1329","im in the",147
"1330","what you do",147
"1331","you like it",147
"1332","you on the",147
"1333","and i cant",146
"1334","i could be",146
"1335","i look forward",146
"1336","in san diego",146
"1337","to be at",146
"1338","today is the",146
"1339","why do you",146
"1340","me if you",145
"1341","thanks to for",145
"1342","are you a",144
"1343","i just dont",144
"1344","when you have",144
"1345","you go to",144
"1346","back to work",143
"1347","did you see",143
"1348","here we go",143
"1349","i was thinking",143
"1350","is better than",143
"1351","make it happen",143
"1352","of all time",143
"1353","sorry for the",143
"1354","and thanks for",142
"1355","i know what",142
"1356","cant wait till",141
"1357","if i dont",141
"1358","thanks to the",141
"1359","thats why i",141
"1360","the hunger games",141
"1361","just saw a",140
"1362","how do i",139
"1363","i miss my",139
"1364","need to know",139
"1365","come to the",138
"1366","dont know why",138
"1367","listening to the",138
"1368","so glad you",138
"1369","to my new",138
"1370","all of your",137
"1371","check out my",137
"1372","follow me on",137
"1373","nice to meet",137
"1374","thank you i",137
"1375","thought i was",137
"1376","to come back",137
"1377","to go home",137
"1378","you have the",137
"1379","its not a",136
"1380","like to see",136
"1381","to go out",136
"1382","what you want",136
"1383","for more info",135
"1384","glad to see",135
"1385","i was like",135
"1386","off to the",135
"1387","to be back",135
"1388","to hear it",135
"1389","waiting for the",135
"1390","you for following",135
"1391","dont think i",134
"1392","excited for the",134
"1393","i dont understand",134
"1394","i was there",134
"1395","i will never",134
"1396","im ready to",134
"1397","next to me",134
"1398","out for the",134
"1399","to hear about",134
"1400","a great night",133
"1401","hate it when",133
"1402","if you havent",133
"1403","keep it up",133
"1404","the difference between",133
"1405","you think you",133
"1406","best way to",132
"1407","but im not",132
"1408","go to school",132
"1409","i like that",132
"1410","i live in",132
"1411","if you were",132
"1412","last night i",132
"1413","right now i",132
"1414","us know if",132
"1415","in the studio",131
"1416","its all about",131
"1417","so much better",131
"1418","about to go",130
"1419","can make it",130
"1420","going to go",130
"1421","i really need",130
"1422","really need to",130
"1423","trying to figure",130
